,AREA,year,Acres Irrigated,id,state_code
237,Mississippi,2003,121970,238,MS
238,Missouri,2003,114335,239,MO
239,Montana,2003,234443,240,MT
240,Nebraska,2003,700554,241,NE
241,Nevada,2003,96326,242,NV
242,New Hampshire,2003,236,243,NH
243,New Jersey,2003,6950,244,NJ
244,New Mexico,2003,112713,245,NM
245,New York,2003,2034,246,NY
246,North Carolina,2003,12068,247,NC
247,North Dakota,2003,34768,248,ND
248,Ohio,2003,2035,249,OH
249,Oklahoma,2003,68290,250,OK
250,Oregon,2003,302999,251,OR
251,Pennsylvania,2003,1172,252,PA
252,Rhode Island,2003,14,253,RI
253,South Carolina,2003,5342,254,SC
254,South Dakota,2003,65585,255,SD
255,Tennessee,2003,3494,256,TN
256,Texas,2003,625830,257,TX
257,Utah,2003,197579,258,UT
258,Vermont,2003,127,259,VT
259,Virginia,2003,8620,260,VA
260,Washington,2003,221858,261,WA
261,West Virginia,2003,114,262,WV
262,Wisconsin,2003,34305,263,WI
263,Wyoming,2003,289386,264,WY
