barrier,2003,2008,2013,2018,2023
TOTAL,26165456,24119889,29305842,29511478,29930162
PRTY,2558302,7275728,7653357,5936080,5026403
YIELD,4724156,3559851,5208860,5698594,6367477
CNDTNS,4386546,3254283,6443086,5355008,4666302
COSTS,10457690,7132837,10245853,10354755,10989319
FINANCE,8337601,6428045,7625049,8834795,8636826
LNDLRD,6386635,4026107,7315678,7211889,7168245
WATER,5417875,3703317,8533047,5339121,6712674
OP,1798734,2451156,3453058,2869704,2704042
