0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER,PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER,PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER,PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER,PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER
2003,2003,2003,2003,2003,2003,2003,2008,2008,2008,2008,2008,2008,2008,2013,2013,2013,2013,2013,2013,2013,2018,2018,2018,2018,2018,2018,2018,2023,2023,2023,2023,2023,2023,2023
481973.0,818993.0,821267.0,1823426.0,1301793.0,1027165.0,750271.0,847305.0,521486.0,486468.0,1083398.0,782571.0,436592.0,716104.0,399767.0,716030.0,720544.0,1005745.0,1027293.0,788320.0,1619529.0,625865.0,865435.0,762915.0,1283040.0,1222139.0,675977.0,1178039.0,529037.0,1129568.0,791987.0,1654094.0,1396113.0,699486.0,1753456.0
832742.8285714276,832742.8285714276,832742.8285714276,832742.8285714276,832742.8285714276,832742.8285714276,832742.8285714276,884131.2857142873,884131.2857142873,884131.2857142873,884131.2857142873,884131.2857142873,884131.2857142873,884131.2857142873,935519.7428571433,935519.7428571433,935519.7428571433,935519.7428571433,935519.7428571433,935519.7428571433,935519.7428571433,986908.1999999993,986908.1999999993,986908.1999999993,986908.1999999993,986908.1999999993,986908.1999999993,986908.1999999993,1038296.6571428552,1038296.6571428552,1038296.6571428552,1038296.6571428552,1038296.6571428552,1038296.6571428552,1038296.6571428552
