barrier,2003,2008,2013,2018,2023
YIELD,"818,993",521486,716030,865435,1129568
CNDTNS,"821,267",486468,720544,762915,791987
COSTS,"1,823,426",1083398,1005745,1283040,1654094
FINANCE,"1,301,793",782571,1027293,1222139,1396113
