year,PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER,OP
2003,275456,525507,466862,834294,811074,926473,193187,104652
2008,990604,564449,362514,1031443,1001060,1019553,237277,332242
2013,543655,662526,986581,1286698,1132902,1674274,625825,543655
2018,1022772,738278,990622,1391507,1195170,1736086,223764,473979
2023,1160318,765355,586600,1437878,1245899,1645143,222109,389953
