0,1,2,3,4,5,6,7
PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER,OP
275456.0,525507.0,466862.0,834294.0,811074.0,926473.0,193187.0,104652.0
990604.0,564449.0,362514.0,1031443.0,1001060.0,1019553.0,237277.0,332242.0
543655.0,662526.0,986581.0,1286698.0,1132902.0,1674274.0,625825.0,543655.0
1022772.0,738278.0,990622.0,1391507.0,1195170.0,1736086.0,223764.0,473979.0
1160318.0,765355.0,586600.0,1437878.0,1245899.0,1645143.0,222109.0,389953.0
