barrier,2003,2008,2013,2018,2023
YIELD,"525,507","564,449","662,526","738,278","765,355"
COSTS,"834,294","1,031,443",1286698,"1,391,507","1,437,878"
FINANCE,"811,074","1,001,060","1,132,902","1,195,170","1,245,899"
