year,PRTY,YIELD,CNDTNS,COSTS,FINANCE,LNDLRD,WATER
2003,"481,973","818,993","821,267","1,823,426","1,301,793","1,027,165","750,271"
2008,847305,521486,486468,1083398,782571,436592,716104
2013,399767,716030,720544,1005745,1027293,788320,1619529
2018,625865,865435,762915,1283040,1222139,675977,1178039
2023,529037,1129568,791987,1654094,1396113,699486,1753456
